id,content,Task Id,label
7825,武漢肺炎疫情嚴峻，航空業首當其衝，載客量雪崩式慘跌，導致全球多家航空公司倒閉或停飛，至年底估計損失恐達千億美元、50萬人遭裁員,39,negative
7826,作為孟加拉經濟支柱的成衣業，因疫情流失的訂單逐漸回籠，加上海外匯款有增加之勢，為孟國經濟復甦帶來好兆頭,39,positive
7827,當我在youtube看到了蘋果的廣告時，就知道蘋果這次賣得很不好，雖然有網紅或傳媒配合製造供不應求的缺貨假像，企圖搞飢餓行銷，但因疫情的影響與新機對比上一代沒有太大幅度的改變，再加上原本九月發表的新機延到十月及十一月，就不難看出遇到困難了～,39,negative
7828,中評社北京11月1日電／據央視新聞報道，目前，美國各地新冠肺炎疫情呈現大暴發態勢,39,negative
7829,顏色對了奈我如何?政府無能，禍事連連，女大生嚮往臺灣安全破功;飛官喪命15人，怪前朝;交通事故，火災死傷，官員避責高升;強制百姓吃毒豬，假疫情，真內宣.笑死國際;揮霍國庫，動盪兩岸;搞台獨策略，刪課綱……，一步步來;說愛臺灣?最大騙子民進黨，817萬票減1.唉…民心不安，真是臺人的悲哀，蔡破格應帶團隊下臺謝罪!,39,negative
7830,國內為數眾多的大學應該要退場，學校不是學店，更何況台灣治安亮起紅燈，疫情不會只是不來的藉口，教育是長遠的路，不要只想賺錢！,39,negative
7831,【時報-台北電】「疫波未平疫波又起！」隨著秋冬到來，國際間的新冠疫情轉趨嚴竣，境外移入案件不停歇，國內雖然在夏天前第一波疫情控制得不錯，但面對已兵臨城下的第二波疫情，台灣已經準備好了嗎？前一波疫情重創的各行各業，有能力面對再一次的衝擊嗎？本報將分兩周，就醫療、教育、交通、就業等面向深度探討,39,positive
7832,〔記者陳昭楨屏東報導〕屏東縣三地門鄉公所昨天起，加碼發給每名鄉民新台幣一千元振興禮金，成為全縣第一個自編預算發放振興現金的鄉鎮市！三地門鄉長車牧勒薩以．拉勒格安表示，三地門鄉受新冠肺炎疫情衝擊，鄉民收入減少，配合中央政府振興三倍券刺激消費，公所決定加碼，發給戶籍設在三地門鄉的居民每人一千元振興消費禮金,39,positive
7833,疫情急遽惡化與紓困談判破裂，導致上周美股周線創下3月來表現最差,39,negative
7834,「疫波未平疫波又起！」隨著秋冬到來，國際間的新冠疫情轉趨嚴竣，境外移入案件不停歇，國內雖然在夏天前第一波疫情控制得不錯，但面對已兵臨城下的第二波疫情，台灣已經準備好了嗎？前一波疫情重創的各行各業，有能力面對再一次的衝擊嗎？本報將分兩周，就醫療、教育、交通、就業等面向深度探討,39,positive
7835,新冠疫情爆發加速數位科技的創新應用，加快產業轉型升級,39,positive
7836,疫情影響，政府為刺激國旅祭出安心國旅補貼，交通部觀光局表示，估計專案帶動1725萬人次出遊，創造直間接觀光效益達635億元,39,positive
7837,英媒：英國高層早就知道大陸隱瞞疫情嚴重性https://udn.com/news/story/6809/4538718,39,negative
7838,圖／TVBS為搶救被疫情影響的經濟，指揮中心規劃經濟泡泡，擬開放具特定身分入境民眾免隔離,39,positive
7839,▲今（1）日中央流行疫情指揮中心發言人莊人祥，召開臨時記者會說明最新境外移入個案,39,positive
7840,記者蕭道田／報導今年邁入第二十二周年的台東利卡夢「梅之宴」GAYA戶外音樂會，三十一日下午兩時於台東利嘉國小梅園華麗登場，音樂會原訂春季辦理，但因新冠疫情延後至今辦理，但人氣絲毫沒有受到影響，許多愛樂粉絲不遠千里到來，GAYA酒店董事長戴美玲也號召一車高雄愛樂團親友前來捧場，縣長饒慶鈴與近五千餘名全台各地湧入的樂迷，在豔陽高照下陶醉在台籍小提琴神童曾宇謙、國立台灣交響樂團進行「深琴對話」,39,positive
7841,一嘴的疫情，謀的是台獨,39,negative
7842,指揮中心發言人莊人祥（資料照）徐筠庭綜合報導/台北市中央流行疫情指揮中心今（1）日上午宣布，我國新增3例武漢肺炎（新型冠狀病毒肺炎、COVID－19）境外移入確診病例，將於下午2點召開臨時記者會，由指揮中心發言人莊人祥說明詳細狀況,39,negative
7843,台灣很小交通便利，美國地廣人稀有疫情也沒有高鐵，同一批憨粉可以連續多日各處遊覽車趕場，美國川粉能這樣？更別提川普是搭空軍一號跑攤，川粉就算開法拉利也沒有川普來的快,39,negative
7844,在大幅超出預算、以及俗稱武漢肺炎的2019年冠狀病毒疾病(COVID-19)疫情帶來航空交通危機之際，德國柏林的新國際機場在遲到了9年後，終於在31日正式啟用,39,positive
7845,「第33屆東京影展」昨在東京國際會議中心開幕，今年因為武漢肺炎疫情的關係，沒有像往年在六本木HILLS的大型紅毯活動，昨由役所廣司、土屋太鳳等日本演員在東京國際會議中心亮相，替影展揭幕,39,negative
7846,在嚴重特殊傳染性肺炎（俗稱武漢肺炎）全球疫情升溫的情況下，部分國家再度開始封鎖措施，包括英國首相BorisJohnson今天（1日）宣布該國近日將開始二度封城，但英超足球賽這段期間會照常舉行,39,positive
7847,垃圾報請去抓根本原因，就是中國連同WHO隱匿疫情輸出全世界然後自己強力壓境內感染者,39,negative
7848,文：NOM團隊在今年餐飲業險峻的時刻，不管是疫情影響、經濟衰退或是消費習慣改變，希望帶給大家一個信息：「隨時都可以與COOKMANIA的社群尋求協助」,39,positive
7849,疫情期間沒客關店全世界都ㄧ樣，沒什麼特別，沒報導價值,39,negative
7850,一向是全年無休的九族文化村，過去除了遇到颱風天災的因素曾經休園外，即使在疫情最嚴重的時候，也都堅持開放服務遊客,39,positive
7851,【時報-各報要聞】受歐美疫情反覆、美國總統大選的干擾，台股上周明顯走跌,39,negative
7852,全球疫情就是這樣啊遇到只能認，不然還能怎樣與其當個智障整天靠北政府，不如腳踏實地好好的面對，不要成為智障,39,negative
7853,又想帶風向?疫情這樣子誰敢讓他們進來?不想想是哪一國造成的?,39,negative
7854,（路透米蘭/巴黎31日電）義大利衛生部今天表示，境內過去24小時新增3萬1758人確診感染2019冠狀病毒疾病（COVID-19），創下疫情爆發以來新高紀錄，改寫30日創下的3萬1084人染疫紀錄,39,negative
7855,台灣是比較好運，沒有像韓國、美國、英國一樣有超級傳播者，不然台灣的疫情就不是這樣子了,39,positive
7856,這階段不論是疫情.穆斯林.經濟.中國表現搶眼.反觀西方國家全部荒腔走板.中國特色共產主義徹底地打了民主自由好幾巴掌,39,negative
7857,旅行社朋友說，最近機票賣的特別好，尤其是年票？疫情期間怎麼可能？怪怪的,39,positive
7858,美國總統大選在即，總統蔡英文昨在國安高層會議指示，財經部會要特別注意美國總統大選後金融市場及經濟情勢的變化，並加強落實對受疫情影響產業的紓困措施，重大投資計劃及基礎建設計劃要加速推動，以強化經濟應變能力,39,positive
7859,一個正常的國家辦教育，不是要給自己的國人青年有正常身心成長學習的環境嗎?怎會是碰到疫情的影響就會因無或減少收入而停擺呢？這就是（學店）的觀念，執掌的教育部沒有責任嗎？趁機汰換這些（學店）應是當務之急吧？,39,negative
7860,怎麼疫情嚴重的地區的第三季GDP成長都比台灣好?,39,negative
7861,自己國內的武漢肺炎疫情，到現在還在不斷爆發，還有多個城市還在淪陷中，不好好的救治那些疫情災區的人民，還整天只打著名為收復，實則侵略別人家園的口號，可悲可恥,39,negative
7862,以接陸客為主的辦桌餐廳？～～現在疫情關係，全世界以國際旅客為主的行業都受影響！！除非它轉型降價推出以本地客為主的小套餐,39,negative
7863,沒錯台灣是世界防疫的大漏洞當疫情各國都沒了就剩下台灣變成疫情黑洞國.武漢病毒依舊潛伏亂竄唯一的好處是...連老共都放棄攻台.台毒嚴重,39,negative
7864,新冠肺炎疫情已導致美國托兒業者陷入財務危機，而該產業對支應其他產業運作至關緊要，若因缺乏政府紓困而紛紛倒閉，可能阻礙未來的經濟復甦,39,negative
7865,?圖：記者黃富貴攝??臺灣時報「第九屆兒童寫生繪畫比賽」，三十一日上午在加昌國小豋場，五百多名學童與家長齊聚加昌國小校園舞動彩筆，展開兒童寫生繪畫比賽，今年雖新冠肺炎(COVID-19)疫情衝擊，但參與兒童寫生繪畫比賽的學童熱情不減，親子相伴帶著畫板畫筆到現場彩繪，台灣時報與加昌國小老師們也為疫情嚴格把關，落實戴口罩及量體溫，不讓防疫出現缺口，守護參與活動的民眾健康，活動結束後，校園並進行消毒作業,39,positive
7866,（中央社記者陳家倫河內1日專電）越南是台灣第2大境外學生來源地，為擴大生源，受疫情影響，駐越南代表處首度以線上方式舉行台灣高教展，尖峰時刻逾3000人同時在線,39,positive
7867,是白痴，智障嗎？經濟，生活因為疫情已經夠苦夠煩的，沒事就惹事嗎？你們會被歧視，本來就是不正常的存在，雖然不反對，但也不代表接受，安安靜靜地，一起拼過這疫情的災害不好嗎？正常人不當，硬要當智障，白痴,39,negative
7868,記者陳柏翰／台北報導中央流行疫情指揮中心31日指出，國內新增1例來自印度的新冠肺炎境外移入病例，是一名本國籍男性，個案搭機時雖有適當防護，但11名外籍航空機組員因無特別防護，均列居家隔離對象,39,negative
7869,【新唐人北京時間2020年11月01日訊】一週經濟回顧：疫情下的雙城記，中國經濟何去何從?疫情下的雙城記，中國經濟何去何從?高科技大公司立場左傾聽證會火爆德國、法國又要開始封城鳳屏時間﹕倆口子政見不同怎麼辦?開場白﹕疫情下的兩個中國觀眾朋友們大家好，歡迎收看一週經濟回顧節目，我是東方,39,negative
7870,?圖：疫情指揮中心發言人莊人祥表示，基隆婦人疑似施打流感疫苗不良反應，有待相關檢測釐清真相,39,negative
7871,據NPOst公益交流站日前調查指出，受到新冠肺炎疫情影響，有64.8%的非營利組織出現捐款下降，49.1%面對被迫改變運作形態，有社福團體反映，因疫情無法群聚，大型活動難以辦理，只能把活動改由線上辦理，但捐款也隨之下滑,39,negative
7872,【國際中心／綜合外電報導】美國總統川普遭批輕視疫情，連自己都中鏢，民調顯示美國人整體而言對他抗疫表現不滿，疫情也成大選關注議題,39,negative
7873,佛系看待疫情現在苦了吧,39,negative
7874,秋冬全球疫情仍然嚴峻，觀光產業受創深，安心旅遊補助結束，旅行社紛紛開發新遊程等，搶國旅商機，中華民國旅行商業同業公會理事長蕭博仁疾呼，建請政府持續補助，鼓勵旅行社組團，帶動觀光經濟，中斷補助，他預估千家旅行社撐不到過年，將衝擊觀光產業數十萬人生計,39,negative
7875,新冠疫情讓韓國民眾上網時間暴增，金範洙創辦的熱門即時通訊軟體Kakao以及李海真創立的韓國最大搜索引擎網站Naver，而這也令他們兩人身家水漲船高,39,positive
7876,（法新社巴黎31日電）據法新社彙整官方數字資料顯示，第2波2019冠狀病毒疾病（COVID-19）疫情之下，本週至少14個歐洲國家的病毒相關住院人數達新高,39,negative
7877,誤讀誤解能造成大禍刻意的誤解.而且只為了一己私利.那麼這人就該遭到唾棄和審判中國遭遇美國霸權的垂死掙扎.時日漸趨緊迫.美英澳加日印在經貿無力遏制中國之餘.有強加軍事攻擊之可能近數月以來.中國已明顯地展開武力方向的準備.領導階層的公開講話.意在團結全民.動員民族力量以禦外侮中國共產黨權力穩固.軍經各方面發展順遂.人民普遍擁戴.對比於域外各國之疫情蔓延.經濟衰頹.社會動亂.中國全民必須也必定奮起保衛此好大一片淨土,39,negative
7878,【謝宛儒／綜合報導】武漢肺炎漫延全球又趨惡化，以《變形金剛》系列為人熟知的億萬導演麥可貝（MichaelBay）最近監製了以疫情為題的新片《鳴鳥》（Songbird，暫譯），描述4年後的美國仍封城，武漢肺炎病毒COVID-19已突變成COVID-23，更有許多確診病患被迫關進隔離營，該片釋出首支預告就被網友砲轟白目又冷血，揚言拒看,39,negative
7879,2019年10月25日用特朗普八字預測已斷言他不可能連任，新冠肺炎疫情是特朗普的「死穴」，他輸就輸在新冠肺炎疫情上，拜登會取得壓倒性選票而勝出，這是易學預測，信不信由你，坐等結果,39,negative
7880,週五美股大動盪，科技股集體淪陷，道瓊收跌157點，道瓊單週下跌6.5%，標普跌幅也達5.6%，創下3月份以來，最大單週跌幅，不僅美國疫情升溫，加上美國總統大選即將到來，根據美國哈特佛基金公司調查顯示，93％投資人認為大選將衝擊股市，84%預期投資行為也會大受影響，受國際不確定因素持續發酵，台股也動盪不安，第一金投顧董事長陳奕光認為，11月將呈現，開低走高格局,39,negative
7881,所以說穿的就是台灣太窮惹的禍嗎，貧窮衍生的社會問題真的比大家想像的還要嚴重許多！台灣的中華兒女們都希望兩岸趕緊統一，支持中共！中共只對台獨及煽動仇恨和分裂的不良分子有危險性，中共才是真正心中有「中華民族」四個大字的政黨，拒美毒豬毒牛，抗倭抗蠻，戰勝疫情，積極防澇，文化復興，璀璨古裝劇多如春筍，中共軍警兵強馬壯，大陸官民交口稱讚，建設日新又新，56個民族一家親，讓全世界中華兒女臉上有光！,39,negative
7882,2020ITF台北國際旅展今年雖然如期舉行，但受2019冠狀病毒疾病COVID-19疫情影響，規模縮小，昨天及今天參觀人數都比去年同期減少一半以上,39,negative
7883,新冠肺炎疫情打趴觀光夜市了嗎？不僅南六合、北士林分傳慘況是60年來前所未見、上百店家歇業收攤，沒想到人氣一向頗高的饒河夜市竟也傳出整體生意少了5成、已淪為娃娃機街，原本販賣旅行箱的業者更是全部倒閉！據《ETtoday》報導，房仲業者指出饒河夜市店面租金一路下跌，從2018年單價6189元至目前僅剩5095元、跌幅近2成，攤商感嘆國外觀光客全部消失、生意少了5成，原本販賣旅行箱的業者更是全部倒閉，取而代之的是娃娃機店，整條饒河街上就有11間,39,negative
7884,我國再增3例新冠肺炎病例，中央流行疫情指揮中心今日宣布下午2時緊急召開記者會，發言人莊人祥主持並說明該案例情況，沒有直播,39,negative
7885,英國/綜合報導持續關心歐洲疫情，英國在昨(31)日，累積確診人數破百萬，成為第9個確診人數破百萬的國家,39,negative
7886,為挽救受新冠肺炎疫情重創的經濟，中央流行疫情指揮中心指揮官陳時中昨（31）日透露，研議中的「經濟泡泡」需有兩項基本條件，一為「來台必要性」，二是過程是否符合「動線分離」、隔離到位,39,positive
7887,中央流行疫情指揮中心今日上午宣布，國內再新增3例新型冠狀病毒肺炎（COVID-19，武漢肺炎）境外移入確診病例，發言人莊人祥今日下午2時記者會說明,39,negative
7888,相信美?人民不傻....唯有跟中?搞好?系才能挽救疫情！厂厂,39,negative
7889,美選關鍵中西部疫情飆華盛頓30日綜合外電報導趕在11月3日美國總統大選投票日前最後一個週末，總統川普與民主黨候選人拜登都前往中西部造勢，但這個選舉一級戰區如今卻是疫情復燃熱點，兩人也難免就防疫進行交鋒,39,positive
7890,（中央社巴黎/馬德里31日綜合外電報導）為對抗第2波2019冠狀病毒疾病（COVID-19）疫情，歐洲一些政府再度下達封鎖令，但西班牙城市掀起抗爭潮，法國小鎮長支持商店照常營業，各地零星出現對管制措施的反彈,39,negative
7891,新冠肺疫疫情重挫全球經濟，不少人被裁員，生活遭逢巨變,39,negative
7892,【時報-各報要聞】疫情急遽惡化與紓困談判破裂，導致上周美股周線創下3月來表現最差,39,negative
7893,再學資本主義的那一套體制，那真的是死的更快.台灣的疫情防治是學西方國家嗎？,39,negative
7894,鼻屎國就是不敢說中國隱匿疫情,39,negative
7895,有用嗎?台灣這幾年幾乎年年出殺人犯但又有哪幾個真得依法判死法官找一堆理由當擋箭牌還有所謂專家出來護航政府打個改革大旗結果有錯有事馬英九改革改道整天活在過去一下蔣中正一下中國多不人道那到底什麼時候要關心台灣自己?還是台灣都聖人別人命值錢台灣人命不值錢武漢疫情疫苗還要先看是哪國家做的而不是先看到底有沒有用流行疫苗問題也一堆政府隨便做有做就好要人當聰明的人整天反中去中就好餓死怎樣死都沒關係,39,negative
7896,都出社會當到店長了，難道忘了今年因為疫情，一堆服飾品牌大廠都虧損得一遢糊塗？如果繼續虧下去，就可能像維多利亞的祕密英國分公司那樣，直接聲請破產，不是嗎？很明顯的，公司高層就是為了減少虧損所以才出此下策，如果無法接受，那就是離開被資遣，誰吃虧？妳以為妳是公務員嗎？如果今天公司大賺還對妳做這樣的事，妳再來投訴媒體啦~,39,negative
7897,布魯塞爾30日專電比利時疫情激增，總理德克魯今晚宣布採取更嚴格的封鎖措施，自11月3日起至12月13日止，所有非必要商店需關閉、維持宵禁、另邊界雖維持開放，但不建議跨國旅行,39,positive
7898,這種疫情記者會早就可以不用開了…千篇一律毫無意義……自嗨本土+0,39,negative
7899,【網路地產王/綜合報導】後疫情時代房地產熱潮延燒，台灣各地頻繁出現新建案搶購消息，位在台北市中正區羅斯福路的精品宅「羅丹」，上週末正式公開，中小坪數的規劃在區段內相當稀有，現場湧進大量人潮，引發熱議,39,positive
7900,新冠肺炎疫情讓全球航空旅遊陷入停滯，航空業者開始發揮巧思，創造飛行以外的收入來源，如販售設計師聯名服飾或開設機上餐廳,39,positive
7901,大家就帶好口罩等待這波疫情過去吧,39,negative
7902,國際油價上周五（30日）跌至五個月低點，月線連續第二個月收黑，因歐洲和美國新冠肺炎疫情急速升溫，加深市場對燃料需求前景的疑慮,39,positive
7903,又要怪政府怪教育部了？怎麼不去怪誰把疫情搞成這樣的某國？,39,negative
7904,全球股市近期受美國總統大選、新冠疫情復燃影響，表現相對疲弱，倫元投顧分析師陳學進指出，美國、台灣目前經濟數據表現亮眼，預期在不確定因素消除後，股市可望走高,39,negative
7905,1〔記者張慧雯／台北報導〕受到美歐疫情持續升溫，再加上美國總統大選在即，近來國際股市大幅向下修正，但投信業者分析，美國大選後無論誰當選，其實都是利多，重點就是消除不確定因素，台股後市不看淡,39,negative
7906,記者王正平／高雄報導一０九年全國大專校院運動會三十一日登場，副總統賴清德、教育部長潘文忠、體育署長張少熙出席開幕典禮，為選手加油打氣；賴清德指出，今年是全球運動選手最艱困的一年，因為肺炎疫情導致許多國際、國內賽事停擺，所幸政府、民眾齊心防疫，我們才有健康安全環境,39,positive
7907,國泰人壽慈善基金會、國泰世華銀行文化慈善基金會、國泰建設文教基金會、國父紀念館與伊甸基金會，10月31日於國父紀念館戶外中山公園廣場，共同舉辦第七屆「樹造幸福，伊起傳愛」愛心環保義賣會，主辦單位召集近百個愛心攤位共襄盛舉，也特別發起行動，請現場的工作同仁及參與的親友/客戶等，身著象徵「希望與和平」的白色系服飾，為台灣祈福、願疫情早日平息,39,positive
7908,對很多人來說，2020年是個充滿驚奇的一年，在新冠肺炎疫情的影響下，部分保險業務員拜訪量變少，很多單位的人力與業績都衰退了，但對中國人壽應許通訊處來說，2020年按部就班，隨著公司轉型工程的藍圖推進，1～6月業績較去年同期成長54％、人力翻長一倍，談起這逆勢成長的驚奇之旅，徐苓芸表示，除了感謝公司轉型工程，引領了一條通訊處發展的康莊大道，也身先士卒帶著單位同仁都朝著同一個正確的方向前進，她更由衷感念全體應許夥伴都願意相信，「相信持續做對的事，好事自然會發生」,39,positive
7909,聽你放臭屁！？美國只有妥協合作救經濟跟疫情的份了，這點我明白的很！,39,negative
7910,中央流行疫情指揮中心宣布，台灣今天(1日)新增3例俗稱武漢肺炎的2019冠狀病毒疾病(COVID-19)確診，全部都是境外移入，目前累計558例,39,negative
7911,中央流行疫情指揮中心1日上午再公布國內新增3例境外移入病例，宣布下午2點舉行臨時記者會,39,negative
7912,馬來西亞遇害女大生的家屬，遇計今天（11月1日）晚間7點多，會抵達桃園機場，並且直接前往台南，但是因為疫情的關係，採用「外交泡泡」的模式，只要採檢呈現陰性，就會給予特別通融,39,negative
7913,如果台灣有災難只有大陸能救時.這個政府寧願台灣人死也不會讓大陸救!921如此.88風災如此.這回疫情宣示不用大陸製疫苗也如此!,39,negative
7914,?新冠肺炎疫情影響之下，讓不少民眾出門時不忘戴上口罩，對於咳嗽聲也變得異常敏感,39,positive
7915,武漢疫情在全球爆發，改變傳統消費行為，永豐金證券表示，非接觸支付產品的使用率大幅增加，行動支付指數自疫情低點以來上漲64.81%，外資研究預估全球數位支付市場規模在2023年將達到7兆美元，全球正加速進入無現金時代，台灣投資人透過複委託買入對應的ETF就可以掌握這股趨勢商機,39,positive
7916,因疫情肆虐全美，今年美國總統選舉選擇不在籍與郵寄投票的選民暴增，各州更改投票及重新投票的規範不同，總統川普又在最後關頭呼籲已投票選民改投，為複雜的選情增添變數,39,positive
7917,今年初新冠肺炎疫情衝擊，許多產業面臨經營困境，但也讓傳統產業數位轉型意外成為最夯話題,39,positive
7918,大衛王下跪，面伏於地，為全民呼求耶和華，疫情3日止住!現在民選的尾大總統在那裏呢?,39,positive
7919,什麼都是空談！如果疫情不立刻控制及停止，任何國防、社會和經濟發展都會倒退或停止,39,positive
7920,（圖／TVBS資料畫面）新冠肺炎新增3例境外移入個案！中央流行疫情指揮中心將於今（1）日14時召開臨時記者會，由發言人莊人祥主持說明病例情況與後續防治作為,39,negative
